,제목,분류
0,구매한 상품에 대한 영수증을 받을 수 있나요?,주문
1,주문했는데 중복으로 결제됐어요,주문
2,인터넷 안전결제(ISP)가 무엇이며 어떻게 이용하나요?,주문
3,실시간 계좌이체는 어떻게 이용할 수 있나요?,주문
4,주문하고 계좌로 입금을 했는데 입금확인이 안 됩니다.,주문
5,간편결제 서비스는 어떻게 이용할 수 있나요?,주문
6,카드결제시 계속해서 오류가 나는데 어떻게 해야 하나요?,주문
7,안심클릭 계열 카드 결제창이 뜨지 않는데 어덯게 해야 하나요?,주문
8,"[""\xa0\xa0\xa0구매 영수증은 PC 웹사이트에서 '마이페이지 > My Shopping > 주문/배송조회 > 주문번호 주문상세보기' 클릭 후주문상세내역에서 하단에 위치한 '영수증 출력' 버튼을 클릭하시면 영수증을 확인 및 출력하실 수 있습니다.\u200b\xa0""]",주문
9,['주문하신 상품이 중복으로 결제되었을 경우  아래 내용을 확인하시고고객센터 대표전화 또는 1:1 문의로 상세내용을 알려주시면 확인 후 처리해드리겠습니다.\xa0\xa0※ 결제수단 별 확인 정보1) 신용카드 : 중복으로 결제된 승인번호(2개 모두)2) 간편결제 : 중복으로 결제된 승인번호(2개 모두)3) 실시간 계좌이체 : 입금날짜  은행명  이름  생년월일  입금금액\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 9:00~18:00 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b'],주문
10,"[""인터넷 안전결제(ISP)는 BC/국민/우리카드 등으로 결제할 때  카드번호를 직접 입력하지 않고카드사에서 발급하는 가상의 비밀번호만으로 안전하게 거래하는 서비스입니다.\xa0ISP 인증번호는 카드사 홈페이지 또는 결제 플러그인 창에서 등록 가능합니다.\xa0*ISP가 정상적으로 작동되지 않을 때는 아래의 해결방법을 참고해 주시기 바랍니다.\xa01. 'initialize fail' 또는 '플러그인 초기화' 메세지\xa0 - ISP 프로그램 수동설치(http://www.vp.co.kr/) 후 다시 신청\xa02. '인터넷 작동이 중지되었습니다.' 메세지\xa0 - '내컴퓨터\\로컬디스크(C:)\\Windows\\system32' 폴더에서 'kcrypto.dll' 파일 삭제 후 다시 시도 \u200b\xa0""]",주문
11,['실시간 계좌이체란  고객님의 계좌에서 쑈윈도 등록 계좌로 이체하는 방식입니다.이체 가능한 시간은 은행별로 상이하며  일부 은행의 경우 수수료가 발생할 수 있습니다.또한  법인계좌로는 실시간 계좌이체를 이용할 수 없습니다. 이 점 유의해 주시기 바랍니다.\u200b\xa0실시간 계좌이체 주문 시 입금내역을 확인하기까지 최대 1시간 정도가 소요됩니다.입금하신 금액이 결제금액과 일치하지 않을 경우 결제완료 처리가 되지 않으므로 다시 한 번 확인해 주시기 바랍니다.정상적으로 입금을 완료한 후에도 계속 결제완료로 처리되지 않는 경우 고객센터 대표전화 또는 1:1문의로 상세내용을 알려주시면 확인 후 처리해드리겠습니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b\xa0'],주문
12,['무통장 또는 실시간 계좌이체 주문 시 입금내역을 확인하기까지 최대 1시간 정도가 소요됩니다.입금하신 금액이 결제금액과 일치하지 않을 경우 결제완료 처리가 되지 않으므로 다시 한 번 확인해 주시기 바랍니다.정상적으로 입금을 완료한 후에도 계속 결제완료로 처리되지 않는 경우 고객센터 대표전화 또는 1:1 문의로 상세내용을 알려주시면 확인 후 처리해드리겠습니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b'],주문
13,"[""'간편결제 서비스'는 결제 가능한 카드를 미리 등록한 후 결제 시 간단한 인증 또는 비밀번호 입력만으로쉽고 빠르게 결제할 수 있는 서비스입니다.본인 명의의 핸드폰과 카드로만 사용이 가능하며  결제 금액 제한은 없습니다.간편결제 서비스는 주문서 작성 하단의 결제수단에서 선택하여 사용하실 수 있습니다.\xa0향후 지속적으로 간편결제 서비스를 추가 도입할 예정입니다.\u200b""]",주문
14,"[""카드결제 시 오류가 발생하는 경우  아래 항목을 참고해 주시기 바랍니다.\xa01. 비밀번호 입력 오류: 비밀번호를 3회 이상 틀린 경우  카드사에 직접 문의2. 유효기간 입력 오류: 유효기간 월/년을 반대로 입력하지 않았는지 확인3. 재결제 시 카드 이용한도 초과: 한도가 초과되지 않은 다른 카드로 결제 진행4. 안전결제(ISP) 서비스 문제\xa0 \xa0- 해지한 카드의 안전결제 서비스 팝업 오류: 시작 > 검색에서 '*.vcard' 검색하여 나오는 모든 파일을 삭제\xa0 \xa0- 정상적으로 신청했으나 결제 불가능: 각 카드마다 각각의 ISP 신청\xa0*카드결제 진행 중 지속적으로 오류가 발생할 경우  고객센터 대표전화 또는 1:1 문의로 상세내용을 알려주시면 확인 후 처리해드리겠습니다.- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무\u200b)  (점심시간: 12:00~13:00)\u200b""]",주문
15,"[""픽업주문건은 주문 시 최초 지정한 픽업매장 외 타 매장으로는 변경할 수 없습니다.단  픽업주문건이 '주문확인' 이전 단계인 경우 일반배송으로 변경이 가능합니다.일반배송으로 변경할 수 있으며  주문한 상품 금액이 50 000원 미만일 경우 추가배송비가 부담됩니다.\u200b추가배송비 입금되지 않는 경우 배송이 되지 않으니 이 점 유의하시기 바랍니다.\xa0* 일반배송으로 변경을 원하시는 경우 고객센터 대표전화로 문의 부탁 드립니다.\xa0 1:1문의로 문의 남기실시 문의 남기시는 시점과 주문상태가 변동될 수 있어 빠른 연락 부탁 드리겠습니다.\xa0\xa0타 매장으로 변경을 원하시는 경우 주문취소 후 다시 주문해야 합니다.매장픽업 서비스에 대해 추가로 궁금하신 사항은 고객센터 대표전화 또는 1:1 문의로 상세내용을 알려주시면 확인 후 처리해드리겠습니다.\xa0- SHOWINDOW 고객센터: 1661-2585 (평일 10:00~17:30 / 토 일 공휴일 휴무)  (점심시간: 12:00~13:00)\u200b""]",배송
16,"[""매장 내 재고 상황 또는 상품 상태에 따라 매장픽업 후 부득이하게 품절이 발생할 수 있습니다.품절이 안내된 다음 날 매장픽업 주문이 자동으로 취소되며 \xa0결제하신 금액은 결제수단에 따라 환불 처리될 예정입니다.주문 취소 진행 상황은 '마이페이지 > My Shopping > 취소/교환/반품현황' 페이지에서 확인하실 수 있습니다.\u200b\xa0""]",배송
