,제목,분류
0,입금 계좌번호를 알려주세요.,주문
1,환불처리 / 카드취소 등 요청 했는데 언제 처리되나요?,주문
2,주문 취소하고 싶어요.,주문
3,입금했는데 왜 입금 확인이 되지 않나요?,주문
4,쿠폰 및 적립금 등은 어떻게 사용하나요?,주문
5,어떤 결제 방법이 있나요?,주문
6,비회원도 구매가 가능하나요?,주문
7,['-무통장 결제\n환불은 평일 기준 오후 6시 이후 일괄적으로 처리해 드리고 있어 7시 이후 입금 확인 부탁드립니다 :)\xa0\xa0\n입금 확인이 안될 경우  고객센터로 문의해 주시면 확인 후 빠른 처리 도와드리도록 하겠습니다.\xa0\xa0\xa0\n\xa0\n-카드 결제\n카드 취소 처리 후 카드사에 따라 취소 완료되기 까지는 5~15일 (주말  공휴일 제외) 정도의 기간이 소요됩니다.\xa0취소 처리를 한 후에도\xa0결제일에 따라 청구가 될 수 있으며  이와 같은 경우에는 익월\xa0결제일에 환급 처리(마이너스 청구)가 되니 참고 부탁드립니다.\xa0\n\xa0정확한 취소 일자나 취소 및 환급 방법은 사용하시는 카드사로 문의해 주시면\xa0빠른 확인이 가능합니다~\xa0-휴대폰 결제\xa0휴대폰 취소는 3~5일(주말  공휴일 제외) 정도의 기간이 소요됩니다.\xa0다만  취소는 결제 하신 당월 1일~말일 이내 취소만 가능하며 부분 취소는 어려운 점 참고 부탁드립니다.\n(결제 당월이 지난 주문 건은 3.5% 결제수수료 차감 후 계좌로 환불 처리 도와드리고 있습니다)\n\xa0'],주문
8,['발송전이면 로그인 후 → 마이페이지 → 주문 내역에서 [주문취소] 버튼 눌러주시면 됩니다!홈페이지에서 취소 처리가 어려우시면 고객센터 혹은 게시판으로 문의해 주시면 빠른 처리 도와드리겠습니다~비회원으로 주문해 주신 분들도 동일하게 로그인 혹은 마이페이지 클릭 후 비회원 배송 조회에서 성함과 주문번호를 입력해 주시면 취소 접수가 가능합니다.\xa0\n\xa0만일  결제 완료 후 취소를 원하시는데 이미 발송된 경우라면\xa0취소 처리가 어려우며 반송 시 발생하는 배송비는 고객 부담이므로\xa0신중한 주문서 작성 부탁드립니다 :)\xa0'],주문
9,"[""주문서에 기재한 입금자명과 다르거나 다른 금액으로\xa0입금한 경우 확인이 되지 않습니다.\n입금자명 혹은 상이한 금액으로 입금하셨을 경우 고객센터로 문의해 주시면\xa0확인 후 처리 도와드리겠습니다.\n\xa0\n<입금만 하시고 주문서가 정상적으로 등록되지 않은 경우>\n주문서 작성 후 꼭 '마이페이지'에서 주문서 확인이 되는지 확인해 주세요.\n주문서를 끝까지 작성하지 않고 중간 단계에서 끝내신 경우\xa0주문서가 없기 때문에 입금을 하셔도 저희쪽에서 확인이 어렵습니다ㅠㅠ\n주문 전 선 입금하셨다면 주문 후 고객센터로 문의해 주시면 확인해 드리고 있습니다.""]",주문
10,"[""-쿠폰쿠폰마다 사용 가능한 금액 기준이 상이하며  기재되어 있는 금액 이상 구매 시\xa0사용이 가능합니다.주문서 작성 시 주문 상품 할인 적용에서 쿠폰 선택을 클릭해 주시면 보유 쿠폰 내역 및 사용 가능한 쿠폰 확인을 확인하실 수 있습니다.쿠폰은 한 주문서 당 한 쿠폰만 적용 가능하며 \xa0각 쿠폰의 사용 가능한 '금액 기준'과 '사용 기간' 을 꼭 확인해 주세요~\n-적립금1원 단위로 사용이 가능하며 주문 시 사용 가능한 적립금을 확인 후 사용하길 원하시는 금액을\xa0입력해 주시면 됩니다.\n(단  무료 배송은 실 결제 금액[적립금  쿠폰 사용 등 할인 금액을 제외한 금액]이 5만 원 이상 되어야 가능하므로 적립금은 실 결제 금액에 포함되지 않는 점 참고 부탁드립니다. )※ 적립금의 유효 기간은 지급 일로부터 1년입니다.\xa0\xa0-예치금\xa0예치금 또한 1원 단위로 사용이 가능하며\xa0주문서 작성 시 주문 상품 할인 적용에서 금액을 입력해 주시면 됩니다.\xa0\xa0\n\xa0""]",주문
