,제목,분류
0,구매한 상품을 교환/반품 하고 싶습니다  어떻게 접수 하나요?,상품관련
1,반품 택배비는 얼마인가요?? ,상품관련
2,교환/반품시 상품을 어디로 보내나요?,상품관련
3,교환 택배비는 얼마인가요?? ,상품관련
4,반품이 불가능한 경우는요?,상품관련
5,교환상품 받는데 얼마나 걸릴까요?,상품관련
6,맞교환 가능하나요?,상품관련
7,구매시 받은 사은품은 어떻게 되나요?,상품관련
8,"['\n\n반품 접수방법은 아래와 같이 접수해서 보내주세요. \n1. CJ택배(T.1588-1255) ""착불""로 접수를 해주세요.\n또는 http://www.cjgls.co.kr/parcel/ 홈페이지에서 반품예약을 해주시면 됩니다.  \n\n2. 교환시 원하시는 상품 사이즈를 기재해주세요. \n   반품시 환불/카드취소/적립중 원하시는 환불 방법을 기재해주세요.\n\n\n3. 반품택배비 동봉\n박스에 현금동봉시 분실되지 않도록 동봉 해주세요.\n- 구매하신 상품 전부를 반품하실 경우 배송비 5 000원\n- 구매하신 상품 일부만 반품하실 경우 배송비 2 500원\n- 단순 변심으로 인한 색상 및 사이즈 교환 5 000원\n- 다른 상품으로 교환 5 000원\n- 불량/오배송 상품은 주문하신 동일상품 동일사이즈로 무상교환\n- 불량/오배송 상품을 다른상품/다른사이즈로 교환시 2 500원\n- 불량/오배송상품  정상상품 같이 보내시면 편도 배송비 2 500원\n\n\n4. 교환&반품은 상품 수령일로부터 7일 이내에 가능합니다. \n(게시판 또는 고객센터(1544-2767)를 통해 접수해주시면 됩니다.)\n']",상품관련
9,['\n\n- 구매하신 상품 전부를 반품하실 경우 배송비 5 000원\n\n- 구매하신 상품 일부만 반품하실 경우 배송비 2 500원\n\n- 불량/오배송 상품을 변심상품과 같이 반품시 2 500원\n\n※ 꼭 CJ택배 착불로 보내주세요!! \n- 타택배 이용시 선불로 반송 \n- 편의점 택배도 타택배사로 간주되어 처리됩니다. (편의점 택배 이용시  사뿐과 CJ대한통운의 계약 요금 적용 불가)\n\n'],상품관련
